datetime,high,low,close,Volume
2025-09-09 09:42:00,649.21,649.04,649.07,12757
2025-09-09 09:43:00,649.12,648.91,649.11,14694
2025-09-09 09:44:00,649.28,649.1,649.28,14551
2025-09-09 09:45:00,649.29,648.93,649.01,20498
2025-09-09 09:46:00,649.1,648.9,648.95,18176
2025-09-09 09:47:00,649.26,648.94,649.25,15818
2025-09-09 09:48:00,649.29,648.95,648.97,13190
2025-09-09 09:49:00,649.17,648.965,649.08,17314
2025-09-09 09:50:00,649.14,648.9,648.93,20383
2025-09-09 09:51:00,649.03,648.78,648.869,21071
2025-09-09 09:52:00,649.0,648.86,648.91,14750
2025-09-09 09:53:00,649.0,648.83,648.85,25678
2025-09-09 09:54:00,648.87,648.63,648.66,35126
2025-09-09 09:55:00,648.7,648.53,648.64,27822
2025-09-09 09:56:00,649.07,648.61,649.04,47916
2025-09-09 09:57:00,649.17,648.95,649.08,18601
2025-09-09 09:58:00,649.13,648.97,648.99,14857
2025-09-09 09:59:00,649.04,648.8,649.01,13073
2025-09-09 10:00:00,649.5,648.62,648.62,71440
2025-09-09 10:01:00,648.99,648.59,648.73,32493
2025-09-09 10:02:00,648.88,648.58,648.775,18552
2025-09-09 10:03:00,648.82,648.43,648.499,29995
2025-09-09 10:04:00,648.86,648.48,648.75,25056
2025-09-09 10:05:00,649.01,648.74,648.89,30501
2025-09-09 10:06:00,648.92,648.63,648.76,14473
2025-09-09 10:07:00,648.88,648.68,648.87,18737
2025-09-09 10:08:00,649.02,648.829,648.9,21895
2025-09-09 10:09:00,649.21,648.84,649.2,29377
2025-09-09 10:10:00,649.57,649.13,649.46,44231
2025-09-09 10:11:00,649.645,649.4,649.64,19537
2025-09-09 10:12:00,649.72,649.419,649.57,27606
2025-09-09 10:13:00,649.58,649.32,649.36,13768
2025-09-09 10:14:00,649.41,649.3,649.38,12559
2025-09-09 10:15:00,649.45,649.1,649.2,22304
2025-09-09 10:16:00,649.25,648.97,649.02,16850
2025-09-09 10:17:00,649.11,648.88,648.96,16122
2025-09-09 10:18:00,649.0,648.75,648.88,19960
2025-09-09 10:19:00,649.03,648.855,648.92,11601
2025-09-09 10:20:00,648.98,648.82,648.93,16327
2025-09-09 10:21:00,649.05,648.86,648.96,17966
2025-09-09 10:22:00,649.03,648.8,648.84,8980
2025-09-09 10:23:00,649.06,648.79,649.04,12855
2025-09-09 10:24:00,649.035,648.86,648.91,8263
2025-09-09 10:25:00,648.99,648.78,648.84,15225
2025-09-09 10:26:00,648.85,648.56,648.57,16874
2025-09-09 10:27:00,648.74,648.53,648.71,18832
2025-09-09 10:28:00,648.82,648.56,648.715,17485
2025-09-09 10:29:00,648.89,648.66,648.75,18947
2025-09-09 10:30:00,648.8,648.63,648.64,13875
2025-09-09 10:31:00,648.74,648.45,648.5,14246
2025-09-09 10:32:00,648.53,648.04,648.04,73308
2025-09-09 10:33:00,648.22,647.99,647.99,28768
2025-09-09 10:34:00,648.04,647.6,647.62,37064
2025-09-09 10:35:00,647.85,647.44,647.58,55392
2025-09-09 10:36:00,647.76,647.31,647.31,45139
2025-09-09 10:37:00,647.65,647.26,647.499,21987
2025-09-09 10:38:00,647.76,647.429,647.62,26070
2025-09-09 10:39:00,647.72,647.49,647.66,18795
2025-09-09 10:40:00,647.79,647.62,647.729,25860
2025-09-09 10:41:00,647.79,647.525,647.67,33294
2025-09-09 10:42:00,647.69,647.44,647.53,21159
2025-09-09 10:43:00,647.56,647.22,647.37,25569
2025-09-09 10:44:00,647.715,647.35,647.69,21441
2025-09-09 10:45:00,648.12,647.6,648.1,32200
2025-09-09 10:46:00,648.11,647.76,647.81,14554
2025-09-09 10:47:00,647.91,647.79,647.81,8653
2025-09-09 10:48:00,648.075,647.83,647.92,17425
2025-09-09 10:49:00,648.02,647.84,647.97,18097
2025-09-09 10:50:00,647.96,647.67,647.75,16797
2025-09-09 10:51:00,647.89,647.72,647.83,6054
2025-09-09 10:52:00,648.215,647.8,648.18,15711
2025-09-09 10:53:00,648.34,648.16,648.32,19144
2025-09-09 10:54:00,648.43,648.3,648.43,34471
2025-09-09 10:55:00,648.64,648.41,648.5,32770
2025-09-09 10:56:00,648.56,648.25,648.31,22092
2025-09-09 10:57:00,648.4,648.21,648.3,9779
2025-09-09 10:58:00,648.41,648.27,648.4,7562
2025-09-09 10:59:00,648.4,648.3,648.35,4466
2025-09-09 11:00:00,648.65,648.3,648.39,84127
2025-09-09 11:01:00,648.48,648.17,648.25,17352
2025-09-09 11:02:00,648.41,648.2,648.2,14473
2025-09-09 11:03:00,648.27,648.12,648.16,8720
2025-09-09 11:04:00,648.22,648.13,648.18,6905
2025-09-09 11:05:00,648.21,648.08,648.16,15869
2025-09-09 11:06:00,648.16,647.9,647.92,14274
2025-09-09 11:07:00,648.04,647.79,647.88,16712
2025-09-09 11:08:00,648.12,647.88,648.1,11924
2025-09-09 11:09:00,648.35,648.08,648.25,16983
2025-09-09 11:10:00,648.32,648.1,648.25,6223
2025-09-09 11:11:00,648.25,648.13,648.13,5554
2025-09-09 11:12:00,648.415,648.14,648.39,13158
2025-09-09 11:13:00,648.39,648.28,648.37,10949
2025-09-09 11:14:00,648.45,648.33,648.38,21236
2025-09-09 11:15:00,648.55,648.38,648.54,23075
